Descrição produto;Preço;Código de barras;
WAFER COOKIES N CREME HERSHEYS MAIS PACOTE 102G;RR$ 6,30;7899970400681;
WAFER CHOCOLATE AO LEITE HERSHEYS MAIS PACOTE 102G;RR$ 6,30;7899970400674;
AMENDOIM HITT NUTS 90G;RR$ 5,80;7896035670102;
AMENDOIM HITT NUTS 40G;RR$ 3,90;7896035660202;
GELO CUBOS ICE DRINK 800G;RR$ 3,70;7898938441032;
ABSORVENTE COM ABAS INTIMUS PACOTE 8 UN ;RR$ 6,60;7896007540631;
ABSORVENTE COM ABAS INTIMUS PACOTE 8 UN ;RR$ 6,90;7896007540617;
ABSORVENTE SEM ABAS INTIMUS PACOTE 8 UN;RR$ 6,90;7896007540600;
QUEIJO MUSSARELA IPANEMA 150G;RR$ 12,90;7896114101619;
QUEIJO RALADO GROSSO IPANEMA 40G;RR$ 7,20;7896114101916;
CARVÃO BRIQUETES ARCO IRIS 2,5KG;RR$ 21,90;7896097211916;
COOKIES CHOCOLATE ISABELA 60G;RR$ 2,90;7896022085148;
LEITE INTEGRAL ITALAC 1L;RR$ 8,90;7898080640611;
LEITE SEMI DESNATADO ITALAC 1L;RR$ 8,90;7898080640628;
CREME DE LEITE ITALAC 200G;RR$ 5,30;7898080640222;
BISCOITO WAFER CHOCOLATE ITAMARATY 110G;RR$ 4,20;7891340302113;
BISCOITO WAFER MORANGO ITAMARATY 110G;RR$ 4,20;7891340302212;
FAROFA PRONTA KISABOR 400G;RR$ 9,59;7898416527548;
SUCO ABACAXI TANG 25G;RR$ 2,20;7622300861148;
SUCO LARANJA TANG 18G;RR$ 2,20;7622210571601;
SUCO LIMAO TANG 18G;RR$ 2,20;7622210571540;
SUCO UVA TANG 18G;RR$ 2,20;7622210571786;
SHAMPOO LOREAL ELSEVE EXTRA PROFUNDO 200ML;RR$ 19,90;7898587764889;
SHAMPOO LOREAL ELSEVE REPARAÇÃO TOTAL 5 200ML;RR$ 19,90;7899026459960;
CHOCOLATE AO LEITE RECHEIO OREO LACTA PACOTE 90G;RR$ 8,40;7622210567567;
BOMBOM SONHO VALSA 21,5G;RR$ 1,60;78939301;
CHOCOLATE BIS BRANCO 126G;RR$ 9,20;7622300807283;
CHOCOLATE BIS 126G;RR$ 9,20;7622300807399;
CHOCOLATE LAKA DIAMANTE NEGRO LACTA 90G;RR$ 8,90;7622210961679;
CHOCOLATE WAFER OREO BRANCO LACTA BIS 100,8G;RR$ 8,30;7622300989316;
ERVA MATE LARANJEIRA 500G;RR$ 10,90;7896072378528;
SAL REFINADO LEBRE 1KG;RR$ 4,20;7896110100043;
SAL GROSSO LEBRE 1 KG;RR$ 4,20;7896110100814;
ÓLEO DE SOJA LEVE TIPO 1 900ML;RR$ 12,90;7896018900035;
DETERGENTE LIQUIDO COCO LIMPOL 500ML;RR$ 4,90;7891022640007;
DETERGENTE LÍQUIDO MAÇÃ LIMPOL 500ML;RR$ 4,90;7891022639001;
LIMPA VIDROS LIMPOL 500ML;RR$ 6,90;7891022860672;
PÃO DE FORMA LOPES 400G;RR$ 8,60;7898917135044;
PÃO HOT DOG LOPES 350G;RR$ 8,90;7898917135082;
PÃO INTEGRAL LOPES 400G;RR$ 9,10;7898917135068;
PÃO LANCHE LOPES 350G;RR$ 7,90;7898917135563;
CONFEITO DE CHOCOLATE AO LEITE M&MS SACHÊ 148G;RR$ 12,90;7896423405743;
TRIDENT MENTA 8G;RR$ 2,70;7895800304228;
CHOCOLATE AO LEITE KITKAT 41,5G;RR$ 4,90;7891000248768;
CHOCOLATE BRANCO KITKAT 41,5G;RR$ 4,90;7891000249239;
PIPOCA TRADICIONAL YOKI 100G;RR$ 7,20;7891095002207;
CAFE SOLUVEL MATINAL NESCAFE SACHET 40G;RR$ 7,50;7891000307045;
CAFE SOLUVEL FORTE NESCAFE SACHET 40G;RR$ 7,50;7891000307083;
CAFE SOLUVEL EXTRAFORTE NESCAFE SACHE 40G;RR$ 7,50;7891000307120;
PIPOCA MANTEIGA YOKI 100G;RR$ 7,20;7891095100934;
PIPOCA SABOR BACON YOKI 100G;RR$ 7,20;7891095100729;
MILHO VERDE QUERO LATA 170G;RR$ 6,40;7896102500608;
GUARDANAPO SNOB 50 UN;RR$ 4,50;7896110081250;
BISCOITO OREO ORIGINAL 90G;RR$ 5,50;7622300830151;
LAMINAS PROBAK 1UN;RR$ 6,00;7702018118823;
CHOCOLATE NESTLE ESPECIALIDADES 251G;RR$ 17,40;7891000325131;
CHOCOLATE LAKA LACTA 80G;RR$ 8,20;7622210674319;
ERVILHA QUERO LATA 280G;RR$ 4,70;7896102500493;
MOLHO SHOYU MARATÁ GOTA FRASCO 150ML;RR$ 4,80;7898286190354;
PILHA PANASONIC AA 4UN ;RR$ 10,40;7896067200032;
PILHA PANASONIC AAA ULTRA HYPER 4UN ;RR$ 11,90;7896067203033;
MACARRÃO INSTANTANEO CARNE NISSIN MIOJO 85G;RR$ 3,60;7891079000205;
MACARRÃO INSTANTANEO TOMATE TURMA DA MONICA NISSIN MIOJO 85G;RR$ 3,60;7891079001028;
MACARRÃO INSTANTANEO GALINHA CAIPIRA NISSIN MIOJO 80G;RR$ 3,60;7891079000229;
MACARRÃO INSTANTÂNEO GALINHA SUAVE TURMA DA MÔNICA NISSIN MIOJO  85G;RR$ 3,60;7891079001011;
MACARRÃO TALHARIM BOLANHESA NISSIN 90G;RR$ 4,30;7891079000427;
MACARRÃO INSTANTANEO GALINHA NISSIN MIOJO 85G;RR$ 3,60;7891079000212;
PAPEL ALUMINIO PACK PANELUX 28CMX4M;RR$ 4,30;7898701030104;
AGUA SANITARIA QBOA 1L;RR$ 5,50;7896083800018;
DESODORANTE NIVEA ACTIVE DRY 150ML;RR$ 17,90;7791969016036;
DESODORANTE AEROSSOL ACTIVE DRY NIVEA MEN IMPACT 150ML;RR$ 17,90;7791969016029;
